,source,element_id,element_path_value,element_short_value,element_definition_value,element_comment_value,element_alias_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_fixedCode_value,element_extension_url,element_extension_valueBoolean_value,element_slicing_ordered_value,element_fixedUri_value
29,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.verificationStatus,AllergyIntolerance.verificationStatus,unconfirmed | confirmed,"Assertion about certainty associated with the propensity, or potential risk, of a reaction to the identified substance (including pharmaceutical product).",This element is labeled as a modifier because the status contains the codes refuted and entered-in-error that mark the AllergyIntolerance as not currently valid.,,1,1,1..1,AllergyIntolerance.verificationStatus,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'w5']","['n/a', 'Observation ACT .inboundRelationship[typeCode=COMP].source[classCode=OBS, code=""verificationStatus"", moodCode=EVN].value', 'status']",code,"['ele-1', 'ait-1', 'ait-2']",true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,AllergyIntoleranceVerificationStatus,,required,"Assertion about certainty associated with a propensity, or potential risk, of a reaction to the identified substance.",http://hl7.org/fhir/ValueSet/allergy-verification-status,true,,,,,,,,,,unconfirmed,,,,
30,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.type,AllergyIntolerance.type,allergy | intolerance - Underlying mechanism (if known),Identification of the underlying physiological mechanism for the reaction risk.,"Allergic (typically immune-mediated) reactions have been traditionally regarded as an indicator for potential escalation to significant future risk. Contemporary knowledge suggests that some reactions previously thought to be immune-mediated are, in fact, non-immune, but in some cases can still pose a life threatening risk. It is acknowledged that many clinicians may not be in a position to distinguish the mechanism of a particular reaction. Often the term ""allergy"" is used rather generically and may overlap with the use of ""intolerance"" - in practice the boundaries between these two concepts may not be well-defined or understood. This data element is included nevertheless, because many legacy systems have captured this attribute. Immunologic testing may provide supporting evidence for the basis of the reaction and the causative substance, but no tests are 100% sensitive or specific for sensitivity to a particular substance. If, as is commonly the case, it is unclear whether the reaction is due to an allergy or an intolerance, then the type element should be omitted from the resource.","['Category', 'Class']",0,1,0..1,AllergyIntolerance.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'w5']","['n/a', 'IAM-9', 'code', 'class']",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,AllergyIntoleranceType,,required,Identification of the underlying physiological mechanism for a Reaction Risk.,http://hl7.org/fhir/ValueSet/allergy-intolerance-type,,,,,,,,,,,,,,,
31,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.category,AllergyIntolerance.category,food | medication | environment | biologic,Category of the identified substance.,"This data element has been included because it is currently being captured in some clinical systems. This data can be derived from the substance where coding systems are used, and is effectively redundant in that situation.  When searching on category, consider the implications of AllergyIntolerance resources without a category.  For example, when searching on category = medication, medication allergies that don't have a category valued will not be returned.  Refer to [search](search.html) for more information on how to search category with a :missing modifier to get allergies that don't have a category.  Additionally, category should be used with caution because category can be subjective based on the sender.","['Category', 'Type', 'Reaction Type', 'Class']",1,*,1..*,AllergyIntolerance.category,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'w5']","['n/a', 'AL1-2', 'value < IntoleranceValue (Agent)', 'class']",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,AllergyIntoleranceCategory,,required,Category of an identified substance.,http://hl7.org/fhir/ValueSet/allergy-intolerance-category,,,,,,,,,,,,,,,
32,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.criticality,AllergyIntolerance.criticality,low | high | unable-to-assess,"Estimate of the potential clinical harm, or seriousness, of the reaction to the identified substance.","The default criticality value for any propensity to an adverse reaction should be 'Low Risk', indicating at the very least a relative contraindication to deliberate or voluntary exposure to the substance. 'High Risk' is flagged if the clinician has identified a propensity for a more serious or potentially life-threatening reaction, such as anaphylaxis, and implies an absolute contraindication to deliberate or voluntary exposure to the substance. If this element is missing, the criticality is unknown (though it may be known elsewhere).  Systems that capture a severity at the condition level are actually representing the concept of criticality whereas the severity documented at the reaction level is representing the true reaction severity.  Existing systems that are capturing both condition criticality and reaction severity may use the term ""severity"" to represent both.  Criticality is the worst it could be in the future (i.e. situation-agnostic) whereas severity is situation-dependent.","['Severity', 'Seriousness', 'Contra-indication', 'Risk']",0,1,0..1,AllergyIntolerance.criticality,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'w5']","['n/a', 'AL1-4', 'inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=SEV, value <= SeverityObservation (Severity Level)]', 'grade']",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,AllergyIntoleranceCriticality,,required,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.",http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality,,,,,,,,,,,,,,,
33,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code,AllergyIntolerance.code,Code that identifies the allergy or intolerance,"Code for an allergy or intolerance statement (either a positive or a negated/excluded statement).  This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., ""Latex""), an allergy or intolerance condition (e.g., ""Latex allergy""), or a negated/excluded code for a specific substance or class (e.g., ""No latex allergy"") or a general or categorical negated statement (e.g.,  ""No known allergy"", ""No known drug allergies"").","It is strongly recommended that this element be populated using a terminology, where possible. For example, some terminologies used include RxNorm, SNOMED CT, DM+D, NDFRT, ICD-9, IDC-10, UNI, ATC and CPT. Plain text should only be used if there is no appropriate terminology available. Additional details can be specified in the text.  When a substance or product code is specified for the 'code' element, the ""default"" semantic context is that this is a positive statement of an allergy or intolerance (depending on the value of the 'type' element, if present) condition to the specified substance/product.  In the corresponding SNOMED CT allergy model, the specified substance/product is the target (destination) of the ""Causative agent"" relationship.  The 'substanceExposureRisk' extension is available as a structured and more flexible alternative to the 'code' element for making positive or negative allergy or intolerance statements.  This extension provides the capability to make ""no known allergy"" (or ""no risk of adverse reaction"") statements regarding any coded substance/product (including cases when a pre-coordinated ""no allergy to x"" concept for that substance/product does not exist).  If the 'substanceExposureRisk' extension is present, the AllergyIntolerance.code element SHALL be omitted.",Code,1,1,1..1,AllergyIntolerance.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'AL1-3 / IAM-3', 'substance/product:  .participation[typeCode=CAGNT].role[classCode=ADMM].player[classCode=MAT, determinerCode=KIND, code <= ExposureAgentEntityType]  negated/excluded substance/product:  .participation[typeCode=CAGNT, negationInd=true].role[classCode=ADMM].player[classCode=MAT, determinerCode=KIND, code <= ExposureAgentEntityType]  positive or negated/excluded condition/situation:  Observation.code=ASSERTION; Observation.value', 'what']",CodeableConcept,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,AllergyIntoleranceCode,,example,"Type of the substance/product, allergy or intolerance condition, or negation/exclusion codes for reporting no known allergies.",https://fhir.nhs.uk/STU3/ValueSet/CareConnect-AllergyCode-1,,,,,,,,,,,,,,,
34,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.id,AllergyIntolerance.code.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,
35,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.extension,AllergyIntolerance.code.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,
36,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding,AllergyIntolerance.code.coding,Code defined by a terminology system,A reference to a code defined by a terminology system.,"Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.",,0,*,0..*,CodeableConcept.coding,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding', 'C*E.1-8, C*E.10-22', 'union(., ./translation)', 'fhir:CodeableConcept.coding rdfs:subPropertyOf dt:CD.coding']",Coding,ele-1,true,,,,,,,,,,,,,,,,,Allows for translations and alternate encodings within a code system.  Also supports communication of the same instance to systems requiring different encodings.,,,,,,,,,
37,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.id,AllergyIntolerance.code.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,
38,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.extension,AllergyIntolerance.code.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,
39,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.extension:snomedCTDescriptionID,AllergyIntolerance.code.coding.extension,The SNOMED CT Description ID for the display,The SNOMED CT Description ID for the display.,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","['extensions', 'user content']",0,1,0..1,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,,,,,,,,,,,,,snomedCTDescriptionID,https://fhir.nhs.uk/STU3/StructureDefinition/Extension-coding-sctdescid,,,,,,,,,,,
40,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.system,AllergyIntolerance.code.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,"The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",,1,1,1..1,Coding.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']",uri,ele-1,true,,,,,,,,,,,,,,,,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,,
41,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.version,AllergyIntolerance.code.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",,0,0,0..0,Coding.version,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.code,AllergyIntolerance.code.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,Note that FHIR strings may not exceed 1MB in size,,1,1,1..1,Coding.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",code,ele-1,true,,,,,,,,,,,,,,,,,Need to refer to a particular code in the system.,,,,,,,,,
43,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.display,AllergyIntolerance.code.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",Note that FHIR strings may not exceed 1MB in size,,0,1,0..1,Coding.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",string,ele-1,true,,,,,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,
44,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.coding.userSelected,AllergyIntolerance.code.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,"Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",,0,1,0..1,Coding.userSelected,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']",boolean,ele-1,true,,,,,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,,
45,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.code.text,AllergyIntolerance.code.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,Very often the text is the same as a displayName of one of the codings.,,0,1,0..1,CodeableConcept.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",string,ele-1,true,,,,,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,
46,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.patient,AllergyIntolerance.patient,Who the sensitivity is for,The patient who has the allergy or intolerance.,"References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",Patient,1,1,1..1,AllergyIntolerance.patient,1,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '(PID-3)', '.participation[typeCode=SBJ].role[classCode=PAT]', 'who.focus']",Reference,ele-1,true,,,,,,,,,,,,,,,,,,,,,https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1,,,,,
47,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.onset[x],AllergyIntolerance.onset[x],When allergy or intolerance was identified,"Estimated or actual date,  date-time, or age when allergy or intolerance was identified.",,,0,1,0..1,AllergyIntolerance.onset[x],0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'w5']","['n/a', 'effectiveTime.low', 'when.init']","['dateTime', 'Age', 'Period', 'Range', 'string']",ele-1,,,,,,,,,,,,,,,,,true,,,,,,,,,,
48,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.assertedDate,AllergyIntolerance.assertedDate,Date record was believed accurate,The date on which the existance of the AllergyIntolerance was first asserted or acknowledged.,,,1,1,1..1,AllergyIntolerance.assertedDate,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'w5']","['n/a', 'IAM-20', '.participation[typeCode=AUT].time', 'when.recorded']",dateTime,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.recorder,AllergyIntolerance.recorder,Who recorded the sensitivity,Individual who recorded the record and takes responsibility for its content.,"References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",Author,1,1,1..1,AllergyIntolerance.recorder,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '.participation[typeCode=AUT].role', 'who.author']","['Reference', 'Reference']",ele-1,,,,,,,,,,,,,,,,,,,,,,"['https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1']",,,,,
50,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.asserter,AllergyIntolerance.asserter,Source of the information about the allergy,The source of the information about the allergy that is recorded.,"The recorder takes repsonsibility for the content, but can reference the source from where they got it.","['Source', 'Informant']",0,1,0..1,AllergyIntolerance.asserter,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'IAM-14 (if patient) / IAM-18 (if practitioner)', '.participation[typeCode=INF].role', 'who.source']","['Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,true,,,,,"['http://hl7.org/fhir/StructureDefinition/RelatedPerson', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1']",,,,,
51,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.lastOccurrence,AllergyIntolerance.lastOccurrence,Date(/time) of last known occurrence of a reaction,Represents the date and/or time of the last known occurrence of a reaction event.,"This date may be replicated by one of the Onset of Reaction dates. Where a textual representation of the date of last occurrence is required e.g. 'In Childhood, '10 years ago' the Comment element should be used.",,0,1,0..1,AllergyIntolerance.lastOccurrence,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'outBoundRelationship[typeCode=SUBJ].target[classCode=OBS, moodCode=EVN, code <= CommonClinicalObservationType, value <= ObservationValue (Reaction Type)].effectiveTime']",dateTime,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.note,AllergyIntolerance.note,Additional text not captured in other fields,"Additional narrative about the propensity for the Adverse Reaction, not captured in other fields.","For example: including reason for flagging a seriousness of 'High Risk'; and instructions related to future exposure or administration of the substance, such as administration within an Intensive Care Unit or under corticosteroid cover. The notes should be related to an allergy or intolerance as a condition in general and not related to any particular episode of it. For episode notes and descriptions, use AllergyIntolerance.event.description and  AllergyIntolerance.event.notes.",,0,*,0..*,AllergyIntolerance.note,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'rim']","['n/a', 'N/A', 'Act', 'subjectOf.observationEvent[code=""annotation""].value']",Annotation,ele-1,,,,,,,,,,,,,,,,,true,,,,,,,,,,
53,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.note.id,AllergyIntolerance.note.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,
54,ARS|s_CareConnect-GPC-AllergyIntolerance-1,AllergyIntolerance.note.extension,AllergyIntolerance.note.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,,,
