,source,element_id,element_path_value,element_short_value,element_definition_value,element_alias_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_fixedCode_value,element_mustSupport_value
30,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.extension,ReferralRequest.groupIdentifier.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,
31,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.use,ReferralRequest.groupIdentifier.use,usual | official | temp | secondary (If known),The purpose of this identifier.,,0,1,0..1,Identifier.use,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Role.code or implied by context']","This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.",code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,IdentifierUse,,required,"Identifies the purpose for this identifier, if known .",http://hl7.org/fhir/ValueSet/identifier-use,true,,Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.,,,,,,
32,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.type,ReferralRequest.groupIdentifier.type,Description of identifier,A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.,,0,1,0..1,Identifier.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'CX.5', 'Role.code or implied by context']","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.",CodeableConcept,ele-1,true,,,,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",IdentifierType,true,extensible,A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.,http://hl7.org/fhir/ValueSet/identifier-type,,,Allows users to make use of identifiers when the identifier system is not known.,,,,,,
33,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.system,ReferralRequest.groupIdentifier.system,The namespace for the identifier value,"Establishes the namespace for the value - that is, a URL that describes a set values that are unique.",,0,1,0..1,Identifier.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.4 / EI-2-4', 'II.root or Role.id.root', './IdentifierType']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,ele-1,true,,,,,,,,,,,,,,"There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.",General,http://www.acme.com/identifiers/patient or urn:ietf:rfc:3986 if the Identifier.value itself is a full uri,,,,
34,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.value,ReferralRequest.groupIdentifier.value,The value that is unique,The portion of the identifier typically relevant to the user and which is unique within the context of the system.,,0,1,0..1,Identifier.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.1 / EI.1', 'II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)', './Value']","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](extension-rendered-value.html).",string,ele-1,true,,,,,,,,,,,,,,,General,,123456,,,
35,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.period,ReferralRequest.groupIdentifier.period,Time period when id is/was valid for use,Time period during which identifier is/was valid for use.,,0,1,0..1,Identifier.period,0,1,"['ele-1', 'per-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'If present, start SHALL have a lower value than end']","['hasValue() | (children().count() > id.count())', 'start.empty() or end.empty() or (start <= end)']","['@value|f:*|h:div', 'not(exists(f:start)) or not(exists(f:end)) or (f:start/@value <= f:end/@value)']","['rim', 'v2', 'rim', 'v2', 'rim', 'servd']","['n/a', 'DR', 'IVL<TS>[lowClosed=""true"" and highClosed=""true""] or URG<TS>[lowClosed=""true"" and highClosed=""true""]', 'CX.7 + CX.8', 'Role.effectiveTime or implied by context', './StartDate and ./EndDate']","This is not a duration - that's a measure of time (a separate type), but a duration that occurs at a fixed value of time. A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times""). If duration is required, specify the type as Interval|Duration.",Period,ele-1,true,,,,,,,,,,,,,,,,,,,,
36,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.groupIdentifier.assigner,ReferralRequest.groupIdentifier.assigner,Organization that issued id (may be just text),Organization that issued/manages the identifier.,,0,1,0..1,Identifier.assigner,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'servd']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'CX.4 / (CX.4,CX.9,CX.10)', 'II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper', './IdentifierIssuingAuthority']",The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,Reference,ele-1,true,,,,,,,,,,,,,,,,,,https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1,,
37,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.status,ReferralRequest.status,draft | active | suspended | cancelled | completed | entered-in-error | unknown,The status of the authorization/intention reflected by the referral request record.,,1,1,1..1,ReferralRequest.status,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'w5']","['n/a', 'RF1-1', 'status']",This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.,code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ReferralRequestStatus,,required,The status of the referral.,http://hl7.org/fhir/ValueSet/request-status,true,,Workflow status is handled by the Task resource.,,,,,unknown,
38,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.intent,ReferralRequest.intent,proposal | plan | order,"Distinguishes the ""level"" of authorization/demand implicit in this request.",category,1,1,1..1,ReferralRequest.intent,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'w5']","['n/a', 'class']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ReferralCategory,,required,Codes identifying the stage lifecycle stage of a request,http://hl7.org/fhir/ValueSet/request-intent,true,,"The same resource structure is used when capturing proposals/recommendations, plans and actual requests.",,,,,order,
39,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.type,ReferralRequest.type,Referral/Transition of care request type,An indication of the type of referral (or where applicable the type of transfer of care) request.,,0,1,0..1,ReferralRequest.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'RF1-10', 'class']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ReferralType,,example,"Codes for types of referral; e.g. consult, transfer, temporary transfer.",http://hl7.org/fhir/ValueSet/referral-type,false,,,,,,,,
40,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.priority,ReferralRequest.priority,Urgency of referral / transfer of care request,An indication of the urgency of referral (or where applicable the type of transfer of care) request.,,0,1,0..1,ReferralRequest.priority,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'w5']","['n/a', 'RF1-2', 'grade']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ReferralPriority,,required,Codes indicating the relative priority of the referral.,https://fhir.nhs.uk/STU3/ValueSet/GPConnect-RequestPriority-1,false,,,,,,,,
41,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.serviceRequested,ReferralRequest.serviceRequested,Actions requested as part of the referral,The service(s) that is/are requested to be provided to the patient.  For example: cardiac pacemaker insertion.,,0,*,0..*,ReferralRequest.serviceRequested,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'PR1-3 / OBR-4', 'what']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,RequestedService,,example,Codes indicating the types of services that might be requested as part of a referral.,http://hl7.org/fhir/ValueSet/c80-practice-codes,false,,,,,,,,
42,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.subject,ReferralRequest.subject,A reference to the patient who is the subject of the referral,The patient who is the subject of a referral or transfer of care request.,,1,1,1..1,ReferralRequest.subject,1,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'PID-3', 'who.focus']","Referral of family, group or community is to be catered for by profiles.",Reference,ele-1,true,,,,,,,,,,,,false,,,,,,https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1,,
43,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.context,ReferralRequest.context,The consultation within which the referral was recorded,The encounter at which the request for referral or transfer of care is initiated.,encounter,0,1,0..1,ReferralRequest.context,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'PV1-19', 'context']","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.","['Reference', 'Reference']",ele-1,true,,,,,,,,,,,,false,,,,,,"['https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-EpisodeOfCare-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Encounter-1']",,true
44,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.occurrence[x],ReferralRequest.occurrence[x],When the service(s) requested in the referral should occur,The period of time within which the services identified in the referral/transfer of care is specified or required to occur.,timing,0,1,0..1,ReferralRequest.occurrence[x],0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'w5']","['n/a', 'OBR-7/OBR-8', 'when.planned']","When the occurrenceDateTime is used, then it is indicating that the requested service must happen before the specified date.","['dateTime', 'Period']",ele-1,true,,,,,,,,,,,,false,,"Use cases: (1) to indicate that the requested service is not to happen before a specified date, and saving the start date in Period.start; (2) to indicate that the requested service must happen before a specified date, and saving the end date in Period.end; (3) to indicate that the requested service must happen during the specified dates (""start"" and ""end"" values).",,,,,,
45,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.authoredOn,ReferralRequest.authoredOn,The user entered date for the referral,Date/DateTime of creation for draft requests and date of activation for active requests.,createdOn,0,1,0..1,ReferralRequest.authoredOn,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'w5']","['n/a', 'RF1-7 / RF1-9?', 'when.recorded']",,dateTime,ele-1,true,,,,,,,,,,,,false,,,,,,,,true
46,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.requester,ReferralRequest.requester,Who has administered the referral request,The individual who initiated the request and has responsibility for its activation.,author,0,1,0..1,ReferralRequest.requester,0,1,"['ele-1', 'rfr-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'onBehalfOf can only be specified if agent is practitioner or device']","['hasValue() | (children().count() > id.count())', '(agent.resolve() is Device) or (agent.resolve() is Practitioner) or onBehalfOf.exists().not()']","['@value|f:*|h:div', ""contains(f:agent/f:reference/@value, '/Practitioner/') or contains(f:agent/f:reference/@value, '/Device/') or not(exists(f:onBehalfOf))""]","['rim', 'rim']","['n/a', '.participation[typeCode=AUT].role']",,BackboneElement,ele-1,true,,,,,,,,,,,,,,,,,,,,true
47,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.requester.id,ReferralRequest.requester.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,
48,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.requester.extension,ReferralRequest.requester.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","['extensions', 'user content']",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,
49,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.requester.modifierExtension,ReferralRequest.requester.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","['extensions', 'user content', 'modifiers']",0,*,0..*,BackboneElement.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,true,,,,,,,,,,,,true,,,,,,,,
50,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.requester.agent,ReferralRequest.requester.agent,Individual making the request,"The device, practitioner, etc. who initiated the request.",,1,1,1..1,ReferralRequest.requester.agent,1,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '.player', 'who.author']","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.","['Reference', 'Reference', 'Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/Device', 'https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-RelatedPerson-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1']",,
51,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.requester.onBehalfOf,ReferralRequest.requester.onBehalfOf,Organization agent is acting for,The organization the device or practitioner was acting on behalf of.,,0,1,0..1,ReferralRequest.requester.onBehalfOf,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '.scoper']","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",Reference,"['ele-1', 'rfr-1']",true,,,,,,,,,,,,,,Practitioners and Devices can be associated with multiple organizations.  This element indicates which organization they were acting on behalf of when authoring the request.,,,,https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1,,
52,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.specialty,ReferralRequest.specialty,The clinical specialty (discipline) that the referral is requested for,Indication of the clinical domain or discipline to which the referral or transfer of care request is sent.  For example: Cardiology Gastroenterology Diabetology.,,0,1,0..1,ReferralRequest.specialty,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'RF1-3']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ReferralSpecialty,,example,Codes indicating the types of capability the referred to service provider must have.,http://hl7.org/fhir/ValueSet/practitioner-specialty,false,,,,,,,,
53,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.recipient,ReferralRequest.recipient,Receiver of referral / transfer of care request,The healthcare provider(s) or provider organization(s) who/which is to receive the referral/transfer of care request.,,0,*,0..*,ReferralRequest.recipient,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'Practitioner: PRD-2/PRD-7 where PRD-3 = RT; Organization: PRD-10 where PRD-3 = RT', 'who.actor']","There will be a primary receiver. But the request can be received by any number of ""copied to"" providers or organizations.","['Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,false,,,,,,"['https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-HealthcareService-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1']",,true
54,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.reasonCode,ReferralRequest.reasonCode,Reason for referral / transfer of care request,"Description of clinical condition indicating why referral/transfer of care is requested.  For example:  Pathological Anomalies, Disabled (physical or mental),  Behavioral Management.",,0,*,0..*,ReferralRequest.reasonCode,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'RF1-10', 'why']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,true,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ReferralReason,,required,Codes indicating why the referral is being requested.,https://fhir.nhs.uk/STU3/ValueSet/ReasonForReferralSnCT-1,false,,,,,,,,true
55,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.reasonReference,ReferralRequest.reasonReference,The problem(s) linked to the referral,Indicates another resource whose existence justifies this request.,,0,*,0..*,ReferralRequest.reasonReference,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '.outboundRelationship[typeCode=RSON].target', 'why']","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.","['Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,"['https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Condition-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Observation-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-ProblemHeader-Condition-1']",,
56,ARS|s_CareConnect-GPC-ReferralRequest-1,ReferralRequest.description,ReferralRequest.description,The free text description for the referral,"The reason element gives a short description of why the referral is being made, the description expands on this to support a more complete clinical summary.",,0,1,0..1,ReferralRequest.description,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,false,,,,,,,,true
