,source,element_id,element_path_value,element_short_value,element_definition_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_isModifier_value,element_binding_extension_url,element_binding_extension_valueReference_reference_value,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_alias_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_representation_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_example_valueCode_value,element_extension_url,element_extension_valueBoolean_value,element_fixedUri_value
29,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.id,Appointment.specialty.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
30,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.extension,Appointment.specialty.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,
31,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.system,Appointment.specialty.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,0,1,0..1,Coding.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",uri,ele-1,true,,,,,,,,,,,,,,,,,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,
32,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.version,Appointment.specialty.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.",0,1,0..1,Coding.version,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.code,Appointment.specialty.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,0,1,0..1,Coding.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,,,,,,,,,,,,,Need to refer to a particular code in the system.,General,,,,394733009,,,
34,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.display,Appointment.specialty.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",0,1,0..1,Coding.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,General,,Medical specialty--OTHER--NOT LISTED,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,
35,ARS|s_GPConnect-Appointment-1,Appointment.specialty.coding.userSelected,Appointment.specialty.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,0,1,0..1,Coding.userSelected,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",boolean,ele-1,true,,,,,,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,
36,ARS|s_GPConnect-Appointment-1,Appointment.specialty.text,Appointment.specialty.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,0,1,0..1,CodeableConcept.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",Very often the text is the same as a displayName of one of the codings.,string,ele-1,true,,,,,,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,
37,ARS|s_GPConnect-Appointment-1,Appointment.appointmentType,Appointment.appointmentType,The style of appointment or patient that has been booked in the slot (not service type),The style of appointment or patient that has been booked in the slot (not service type).,0,0,0..0,Appointment.appointmentType,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'ARQ-7', '.code']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,true,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,appointment-type,,preferred,,http://hl7.org/fhir/ValueSet/v2-0276,,,,,,,,,,,,,,,,,,
38,ARS|s_GPConnect-Appointment-1,Appointment.reason,Appointment.reason,Reason this appointment is scheduled,The reason that this appointment is being scheduled. This is more clinical than administrative.,0,1,0..1,Appointment.reason,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'AIS-3, SCH-7', '.reasonCode']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,true,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,ApptReason,,required,The Reason for the appointment to take place.,http://hl7.org/fhir/ValueSet/encounter-reason,,,,,,,,,,,,,,,,,,
39,ARS|s_GPConnect-Appointment-1,Appointment.reason.id,Appointment.reason.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
40,ARS|s_GPConnect-Appointment-1,Appointment.reason.extension,Appointment.reason.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,
41,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding,Appointment.reason.coding,Code defined by a terminology system,A reference to a code defined by a terminology system.,0,*,0..*,CodeableConcept.coding,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding', 'C*E.1-8, C*E.10-22', 'union(., ./translation)', 'fhir:CodeableConcept.coding rdfs:subPropertyOf dt:CD.coding']","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.",Coding,ele-1,true,,,,,,,,,,,,,,,,,,Allows for translations and alternate encodings within a code system.  Also supports communication of the same instance to systems requiring different encodings.,,,,,,,,
42,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.id,Appointment.reason.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
43,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.extension,Appointment.reason.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,
44,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.system,Appointment.reason.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,1,1,1..1,Coding.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",uri,ele-1,true,,,,,,,,,,,,,,,,,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,http://snomed.info/sct
45,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.version,Appointment.reason.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.",0,0,0..0,Coding.version,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.code,Appointment.reason.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,1,1,1..1,Coding.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,,,,,,,,,,,,,Need to refer to a particular code in the system.,General,,,,17436001,,,
47,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.display,Appointment.reason.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",1,1,1..1,Coding.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,General,,Medical consultation with outpatient,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,
48,ARS|s_GPConnect-Appointment-1,Appointment.reason.coding.userSelected,Appointment.reason.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,0,0,0..0,Coding.userSelected,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",boolean,ele-1,true,,,,,,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,
49,ARS|s_GPConnect-Appointment-1,Appointment.reason.text,Appointment.reason.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,0,1,0..1,CodeableConcept.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",Very often the text is the same as a displayName of one of the codings.,string,ele-1,true,,,,,,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,
50,ARS|s_GPConnect-Appointment-1,Appointment.indication,Appointment.indication,Reason the appointment is to takes place (resource),"Reason the appointment has been scheduled to take place, as specified using information from another resource. When the patient arrives and the encounter begins it may be used as the admission diagnosis. The indication will typically be a Condition (with other resources referenced in the evidence.detail), or a Procedure.",0,0,0..0,Appointment.indication,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', "".inboundRelationship[@typeCode = 'RSON'].observation""]","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.","['Reference', 'Reference']",ele-1,,,,,,,,,,,,,,,,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/Condition', 'http://hl7.org/fhir/StructureDefinition/Procedure']",,,,
51,ARS|s_GPConnect-Appointment-1,Appointment.priority,Appointment.priority,"Gives the priority of the appointment. Can be used to make informed decisions if needing to re-prioritize appointments. (The iCal Standard specifies 0 as undefined, 1 as highest, 9 as lowest priority)","The priority of the appointment. Can be used to make informed decisions if needing to re-prioritize appointments. (The iCal Standard specifies 0 as undefined, 1 as highest, 9 as lowest priority).",0,1,0..1,Appointment.priority,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'ical', 'w5']","['n/a', 'ARQ-12, SCH-11.6 / TQ1-9', '.priorityCode', 'PRIORITY', 'class']",Seeking implementer feedback on this property and how interoperable it is.  Using an extension to record a codeableconcept for named values may be tested at a future connectathon.,unsignedInt,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ARS|s_GPConnect-Appointment-1,Appointment.description,Appointment.description,"Shown on a subject line in a meeting request, or appointment list","The brief description of the appointment as would be shown on a subject line in a meeting request, or appointment list. Detailed or expanded information should be put in the comment field.",1,1,1..1,Appointment.description,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'ical']","['n/a', 'NTE-3', '.text', 'DESCRIPTION']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ARS|s_GPConnect-Appointment-1,Appointment.supportingInformation,Appointment.supportingInformation,Additional information to support the appointment,Additional information to support the appointment provided when making the appointment.,0,0,0..0,Appointment.supportingInformation,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', "".inboundRelationship[@typeCode = 'SPRT'].observation"", 'context']","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",Reference,ele-1,,,,,,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/Resource,,,,
54,ARS|s_GPConnect-Appointment-1,Appointment.start,Appointment.start,When appointment is to take place,Date/Time that the appointment is to take place.,1,1,1..1,Appointment.start,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'w5']","['n/a', 'ARQ-11.1, SCH-11.4 / TQ1-7', '.effectiveTime.low', 'when.init']","Note: This is intended for precisely observed times, typically system logs etc., and not human-reported times - for them, see date and dateTime below. Time zone is always required",instant,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ARS|s_GPConnect-Appointment-1,Appointment.end,Appointment.end,When appointment is to conclude,Date/Time that the appointment is to conclude.,1,1,1..1,Appointment.end,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'w5']","['n/a', 'SCH-11.5 / TQ1-8/ calculated based on the start and the duration which is in ARQ-9', '.effectiveTime.high', 'when.done']","Note: This is intended for precisely observed times, typically system logs etc., and not human-reported times - for them, see date and dateTime below. Time zone is always required",instant,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ARS|s_GPConnect-Appointment-1,Appointment.minutesDuration,Appointment.minutesDuration,Can be less than start/end (e.g. estimate),Number of minutes that the appointment is to take. This can be less than the duration between the start and end times (where actual time of appointment is only an estimate or is a planned appointment request).,0,1,0..1,Appointment.minutesDuration,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', "".activityTime[@xsi:type = ('SXPR_TS', 'PIVL_TS')].width""]","32 bit number; for values larger than this, use decimal",positiveInt,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ARS|s_GPConnect-Appointment-1,Appointment.slot,Appointment.slot,The slots that this appointment is filling,The slots from the participants' schedules that will be filled by the appointment.,1,*,1..*,Appointment.slot,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', "".outboundRelationship[@typeCode = 'REFR'].act[@classCode = 'ACT'][@moodCode = 'SLOT']""]","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",Reference,ele-1,,,,,,,,,,,,,,,,,,,,,,,https://fhir.nhs.uk/STU3/StructureDefinition/GPConnect-Slot-1,,,,
58,ARS|s_GPConnect-Appointment-1,Appointment.slot.id,Appointment.slot.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
59,ARS|s_GPConnect-Appointment-1,Appointment.slot.extension,Appointment.slot.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,
60,ARS|s_GPConnect-Appointment-1,Appointment.slot.reference,Appointment.slot.reference,"Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.",0,1,0..1,Reference.reference,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.",string,"['ele-1', 'ref-1']",true,,,,,,,,,,,,,,,,,,,General,,Slot/79a37bc3-8d22-4805-b1a7-8cf8ceca9217,,,,,
