,source,element_id,element_path_value,element_short_value,element_definition_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_isModifier_value,element_binding_extension_url,element_binding_extension_valueReference_reference_value,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_alias_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_representation_value,element_requirements_value,element_extension_url,element_extension_valueBoolean_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_meaningWhenMissing_value,element_type_targetProfile_value,element_type_profile_value
32,ARS|s_GPConnect-Device-1,Device.identifier.assigner,Device.identifier.assigner,Organization that issued id (may be just text),Organization that issued/manages the identifier.,0,0,0..0,Identifier.assigner,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'servd']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'CX.4 / (CX.4,CX.9,CX.10)', 'II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper', './IdentifierIssuingAuthority']",The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,Reference,ele-1,true,,,,,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/Organization,
33,ARS|s_GPConnect-Device-1,Device.identifier.assigner.id,Device.identifier.assigner.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
34,ARS|s_GPConnect-Device-1,Device.identifier.assigner.extension,Device.identifier.assigner.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,
35,ARS|s_GPConnect-Device-1,Device.identifier.assigner.reference,Device.identifier.assigner.reference,"Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.",0,1,0..1,Reference.reference,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.",string,"['ele-1', 'ref-1']",true,,,,,,,,,,,,,,,,,,,,,,,
36,ARS|s_GPConnect-Device-1,Device.identifier.assigner.identifier,Device.identifier.assigner.identifier,"Logical reference, when literal reference is not known","An identifier for the other resource. This is used when there is no way to reference the other resource directly, either because the entity is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.",0,1,0..1,Reference.identifier,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'rim']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', '.identifier']","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy.   When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference  Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.",Identifier,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,
37,ARS|s_GPConnect-Device-1,Device.identifier.assigner.display,Device.identifier.assigner.display,Text alternative for the resource,Plain text narrative that identifies the resource in addition to the resource reference.,0,1,0..1,Reference.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.",string,ele-1,true,,,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,
38,ARS|s_GPConnect-Device-1,Device.udi,Device.udi,Unique Device Identifier (UDI) Barcode string,[Unique device identifier (UDI)](device.html#5.11.3.2.2) assigned to device label or package.,0,0,0..0,Device.udi,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'w5']","['n/a', '.id and .code', 'id']","UDI may identify an unique instance of a device, or it may only identify the type of the device.  See [UDI mappings](device-mappings.html#udi) for a complete mapping of UDI parts to Device.",BackboneElement,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,
39,ARS|s_GPConnect-Device-1,Device.udi.id,Device.udi.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
40,ARS|s_GPConnect-Device-1,Device.udi.extension,Device.udi.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,
41,ARS|s_GPConnect-Device-1,Device.udi.modifierExtension,Device.udi.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",0,*,0..*,BackboneElement.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,true,true,,,,,,,,"['extensions', 'user content', 'modifiers']",,,,,,,,,,,,,,
42,ARS|s_GPConnect-Device-1,Device.udi.deviceIdentifier,Device.udi.deviceIdentifier,Mandatory fixed portion of UDI,"The device identifier (DI) is a mandatory, fixed portion of a UDI that identifies the labeler and the specific version or model of a device.",0,1,0..1,Device.udi.deviceIdentifier,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim', 'w5']","['n/a', 'The device identifier (DI), a mandatory, fixed portion of a UDI that identifies the labeler and the specific version or model of a device.', 'Role.id.extension', 'what']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,DI,,,,,,,,,,,,,,
43,ARS|s_GPConnect-Device-1,Device.udi.name,Device.udi.name,Device Name as appears on UDI label,Name of device as used in labeling or catalog.,0,1,0..1,Device.udi.name,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim', 'w5']","['n/a', 'Propietary/Trade Name of the medical Device as used in the labeling or catalog', '.displayName', 'what']",Use the `Device.type`  for a generic type or kind of device name.  Note the [GUDID](http://www.fda.gov/medicaldevices/deviceregulationandguidance/uniquedeviceidentification/globaludidatabasegudid/default.htm) lists the name as the 'Brand Name'.,string,ele-1,true,,,,,,,,,Brand Name,,,,,,,,,,,,,,
44,ARS|s_GPConnect-Device-1,Device.udi.jurisdiction,Device.udi.jurisdiction,Regional UDI authority,"The identity of the authoritative source for UDI generation within a  jurisdiction.  All UDIs are globally unique within a single namespace. with the appropriate repository uri as the system.  For example,  UDIs of devices managed in the U.S. by the FDA, the value is  http://hl7.org/fhir/NamingSystem/fda-udi.",0,1,0..1,Device.udi.jurisdiction,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'Role.scoper']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,ele-1,,,,,,,,,,,,,,,,Allows a recipient of a UDI to know which database will contain the UDI-associated metadata.,,,,,,,,
45,ARS|s_GPConnect-Device-1,Device.udi.carrierHRF,Device.udi.carrierHRF,UDI Human Readable Barcode String,The full UDI carrier as the human readable form (HRF) representation of the barcode string as printed on the packaging of the device.,0,1,0..1,Device.udi.carrierHRF,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim']","['n/a', 'A unique device identifier (UDI) on a device label in plain text', 'Role.id.extension']","If separate barcodes for DI and PI are present, concatenate the string with DI first and in order of human readable expression on label.",string,ele-1,true,,,,,,,,,Human Readable Form,,,,,,,,,,,,,,
46,ARS|s_GPConnect-Device-1,Device.udi.carrierAIDC,Device.udi.carrierAIDC,UDI Machine Readable Barcode String,"The full UDI carrier of the Automatic Identification and Data Capture (AIDC) technology representation of the barcode string as printed on the packaging of the device - E.g a barcode or RFID.   Because of limitations on character sets in XML and the need to round-trip JSON data through XML, AIDC Formats *SHALL* be base64 encoded.",0,1,0..1,Device.udi.carrierAIDC,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim']","['n/a', 'A unique device identifier (UDI) on a device label a form that uses automatic identification and data capture (AIDC) technology.', 'Role.id.extension']","The AIDC form of UDIs should be scanned or otherwise used for the identification of the device whenever possible to minimize errors in records resulting from manual transcriptions. If separate barcodes for DI and PI are present, concatenate the string with DI first and in order of human readable expression on label.",base64Binary,ele-1,true,,,,,,,,,Automatic Identification and Data Capture,,,,,,,,,,,,,,
47,ARS|s_GPConnect-Device-1,Device.udi.issuer,Device.udi.issuer,UDI Issuing Organization,"Organization that is charged with issuing UDIs for devices.  For example, the US FDA issuers include : 1) GS1:  http://hl7.org/fhir/NamingSystem/gs1-di,  2) HIBCC: http://hl7.org/fhir/NamingSystem/hibcc-dI,  3) ICCBBA for blood containers: http://hl7.org/fhir/NamingSystem/iccbba-blood-di,  4) ICCBA for other devices: http://hl7.org/fhir/NamingSystem/iccbba-other-di.",0,1,0..1,Device.udi.issuer,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim']","['n/a', 'All UDIs are to be issued under a system operated by an Jurisdiction-accredited issuing agency. GS1 DIs:   http://hl7.org/fhir/NamingSystem/gs1 HIBCC DIs:  http://hl7.org/fhir/NamingSystem/hibcc ICCBBA DIs for blood containers:  http://hl7.org/fhir/NamingSystem/iccbba-blood ICCBA DIs for other devices:  http://hl7.org/fhir/NamingSystem/iccbba-other', 'Role.id.root']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,ele-1,,,,,,,,,,Barcode System,,,,,,,,,,,,,,
48,ARS|s_GPConnect-Device-1,Device.udi.entryType,Device.udi.entryType,barcode | rfid | manual +,A coded entry to indicate how the data was entered.,0,1,0..1,Device.udi.entryType,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'NA']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,UDIEntryType,,required,Codes to identify how UDI data was entered,http://hl7.org/fhir/ValueSet/udi-entry-type,,,,,,,Supports a way to distinguish hand entered from machine read data.,,,,,,,,
49,ARS|s_GPConnect-Device-1,Device.status,Device.status,active | inactive | entered-in-error | unknown,Status of the Device availability.,0,0,0..0,Device.status,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'w5']","['n/a', '.statusCode', 'status']",This element is labeled as a modifier because the status contains the codes inactive and entered-in-error that mark the device (record)as not currently valid.,code,ele-1,true,true,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,FHIRDeviceStatus,,required,The availability status of the device.,http://hl7.org/fhir/ValueSet/device-status,,,,,,,,,,,,,,,
50,ARS|s_GPConnect-Device-1,Device.type,Device.type,What kind of device this is,Code or identifier to identify a kind of device.,1,1,1..1,Device.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'udi', 'rim', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'Type description using GMDN or other code system', '.code', 'what']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,DeviceKind,,preferred,Codes to identify medical devices,https://fhir.nhs.uk/STU3/ValueSet/DeviceType-1,,,,,,,,,,,,,,,
51,ARS|s_GPConnect-Device-1,Device.type.id,Device.type.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
52,ARS|s_GPConnect-Device-1,Device.type.extension,Device.type.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,
53,ARS|s_GPConnect-Device-1,Device.type.coding,Device.type.coding,Code defined by a terminology system,A reference to a code defined by a terminology system.,1,1,1..1,CodeableConcept.coding,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding', 'C*E.1-8, C*E.10-22', 'union(., ./translation)', 'fhir:CodeableConcept.coding rdfs:subPropertyOf dt:CD.coding']","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.",Coding,ele-1,true,,,,,,,,,,,,,,,Allows for translations and alternate encodings within a code system.  Also supports communication of the same instance to systems requiring different encodings.,,,,,,,,
54,ARS|s_GPConnect-Device-1,Device.type.coding.id,Device.type.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,
55,ARS|s_GPConnect-Device-1,Device.type.coding.extension,Device.type.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,
56,ARS|s_GPConnect-Device-1,Device.type.coding.system,Device.type.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,1,1,1..1,Coding.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",uri,ele-1,true,,,,,,,,,,,,,,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,
57,ARS|s_GPConnect-Device-1,Device.type.coding.version,Device.type.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.",0,0,0..0,Coding.version,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,
58,ARS|s_GPConnect-Device-1,Device.type.coding.code,Device.type.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,1,1,1..1,Coding.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,,,,,,,,,,Need to refer to a particular code in the system.,,,,,,,,
59,ARS|s_GPConnect-Device-1,Device.type.coding.display,Device.type.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",1,1,1..1,Coding.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,
60,ARS|s_GPConnect-Device-1,Device.type.coding.userSelected,Device.type.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,0,0,0..0,Coding.userSelected,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",boolean,ele-1,true,,,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,
61,ARS|s_GPConnect-Device-1,Device.type.text,Device.type.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,0,0,0..0,CodeableConcept.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",Very often the text is the same as a displayName of one of the codings.,string,ele-1,true,,,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,
62,ARS|s_GPConnect-Device-1,Device.lotNumber,Device.lotNumber,Lot number of manufacture,Lot number assigned by the manufacturer.,0,0,0..0,Device.lotNumber,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim', 'w5']","['n/a', 'The lot or batch number within which a device was manufactured - which is a component of the production identifier (PI), a conditional, variable portion of a UDI.', '.lotNumberText', 'what']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,,,,,,,
63,ARS|s_GPConnect-Device-1,Device.manufacturer,Device.manufacturer,Name of device manufacturer,A name of the manufacturer.,0,1,0..1,Device.manufacturer,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim', 'w5']","['n/a', 'N/A', '.playedRole[typeCode=MANU].scoper.name', 'what']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,,,,,,,
64,ARS|s_GPConnect-Device-1,Device.manufactureDate,Device.manufactureDate,Date when the device was made,The date and time when the device was manufactured.,0,0,0..0,Device.manufactureDate,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim', 'w5']","['n/a', 'The date a specific device was manufactured - which is a component of the production identifier (PI), a conditional, variable portion of a UDI.  For FHIR, The datetime syntax must converted to YYYY-MM-DD[THH:MM:SS].  If hour is present, the minutes and seconds should both be set to “00”.', '.existenceTime.low', 'what']",,dateTime,ele-1,,,,,,,,,,,,,,,,,,,,,,,,
65,ARS|s_GPConnect-Device-1,Device.expirationDate,Device.expirationDate,Date and time of expiry of this device (if applicable),The date and time beyond which this device is no longer valid or should not be used (if applicable).,0,0,0..0,Device.expirationDate,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'udi', 'rim', 'w5']","['n/a', 'the expiration date of a specific device -  which is a component of the production identifier (PI), a conditional, variable portion of a UDI.  For FHIR, The datetime syntax must converted to YYYY-MM-DD[THH:MM:SS].  If hour is present, the minutes and seconds should both be set to “00”.', '.expirationTime', 'what']",,dateTime,ele-1,,,,,,,,,,,,,,,,,,,,,,,,
