,source,element_id,element_path_value,element_short_value,element_definition_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_alias_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_fixedUri_value,element_type_targetProfile_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_defaultValueCode_value,element_fixedCode_value,element_extension_url,element_extension_valueBoolean_value,element_fixedString_value,element_slicing_ordered_value
29,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.extension:relatedClinicalContent.url,Condition.extension.url,identifies the meaning of the extension,Source of the definition for the extension code - a logical name or a URL.,1,1,1..1,Extension.url,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.",uri,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,https://fhir.hl7.org.uk/STU3/StructureDefinition/Extension-CareConnect-RelatedClinicalContent-1,,,,,,,,,,,
30,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.extension:relatedClinicalContent.value[x],Condition.extension.value[x],Value of extension,Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).,0,1,0..1,Extension.value[x],0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","A stream of bytes, base64 encoded","['base64Binary', 'boolean', 'code', 'date', 'dateTime', 'decimal', 'id', 'instant', 'integer', 'markdown', 'oid', 'positiveInt', 'string', 'time', 'unsignedInt', 'uri', 'Address', 'Age', 'Annotation', 'Attachment', 'CodeableConcept', 'Coding', 'ContactPoint', 'Count', 'Distance', 'Duration', 'HumanName', 'Identifier', 'Money', 'Period', 'Quantity', 'Range', 'Ratio', 'Reference', 'SampledData', 'Signature', 'Timing', 'Meta', 'Reference', 'Reference', 'Reference', 'Reference', 'Reference', 'Reference', 'Reference', 'Reference']",ele-1,,,,,,,,,,,,,,,,,,,,"['https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Immunization-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Observation-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Specimen-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-AllergyIntolerance-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-ProcedureRequest-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-List-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Encounter-1']",,,,,,,,,,
31,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.modifierExtension,Condition.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",0,*,0..*,DomainResource.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,true,,,,,,,,,,,,,,,,
32,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier,Condition.identifier,External Ids for this condition,"This records identifiers associated with this condition that are defined by business processes and/or used to refer to it when a direct URL reference to the resource itself is not appropriate (e.g. in CDA documents, or in written / printed documentation).",1,*,1..*,Condition.identifier,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'rim', 'w5']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', '.id', 'id']",,Identifier,ele-1,true,,,,,,,,,,,,,,,,,,,,Need to allow connection to a wider workflow.,,,,,,,,,
33,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.id,Condition.identifier.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.extension,Condition.identifier.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
35,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.use,Condition.identifier.use,usual | official | temp | secondary (If known),The purpose of this identifier.,0,1,0..1,Identifier.use,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Role.code or implied by context']","This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.",code,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,IdentifierUse,,required,"Identifies the purpose for this identifier, if known .",http://hl7.org/fhir/ValueSet/identifier-use,true,,,,,,,Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.,,,,,,,,,
36,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.type,Condition.identifier.type,Description of identifier,A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.,0,1,0..1,Identifier.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'CX.5', 'Role.code or implied by context']","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.",CodeableConcept,ele-1,true,,,,,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",IdentifierType,true,extensible,A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.,http://hl7.org/fhir/ValueSet/identifier-type,,,,,,,,Allows users to make use of identifiers when the identifier system is not known.,,,,,,,,,
37,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.system,Condition.identifier.system,The namespace for the identifier value,"Establishes the namespace for the value - that is, a URL that describes a set values that are unique.",1,1,1..1,Identifier.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.4 / EI-2-4', 'II.root or Role.id.root', './IdentifierType']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,ele-1,true,,,,,,,,,,,,,,,,,,,,"There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.",General,http://www.acme.com/identifiers/patient or urn:ietf:rfc:3986 if the Identifier.value itself is a full uri,,,,,,,
38,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.value,Condition.identifier.value,The value that is unique,The portion of the identifier typically relevant to the user and which is unique within the context of the system.,1,1,1..1,Identifier.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.1 / EI.1', 'II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)', './Value']","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](extension-rendered-value.html).",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,General,,123456,,,,,,
39,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.period,Condition.identifier.period,Time period when id is/was valid for use,Time period during which identifier is/was valid for use.,0,1,0..1,Identifier.period,0,1,"['ele-1', 'per-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'If present, start SHALL have a lower value than end']","['hasValue() | (children().count() > id.count())', 'start.empty() or end.empty() or (start <= end)']","['@value|f:*|h:div', 'not(exists(f:start)) or not(exists(f:end)) or (f:start/@value <= f:end/@value)']","['rim', 'v2', 'rim', 'v2', 'rim', 'servd']","['n/a', 'DR', 'IVL<TS>[lowClosed=""true"" and highClosed=""true""] or URG<TS>[lowClosed=""true"" and highClosed=""true""]', 'CX.7 + CX.8', 'Role.effectiveTime or implied by context', './StartDate and ./EndDate']","This is not a duration - that's a measure of time (a separate type), but a duration that occurs at a fixed value of time. A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times""). If duration is required, specify the type as Interval|Duration.",Period,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.identifier.assigner,Condition.identifier.assigner,Organization that issued id (may be just text),Organization that issued/manages the identifier.,0,1,0..1,Identifier.assigner,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'servd']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'CX.4 / (CX.4,CX.9,CX.10)', 'II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper', './IdentifierIssuingAuthority']",The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,Reference,ele-1,true,,,,,,,,,,,,,,,,,,,https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Organization-1,,,,,,,,,,
41,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.clinicalStatus,Condition.clinicalStatus,active | inactive,The clinical status of the condition.,1,1,1..1,Condition.clinicalStatus,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'sct-concept', 'v2', 'rim', 'w5']","['n/a', '< 303105007 |Disease phases|', 'PRB-14 / DG1-6', 'Observation ACT .inboundRelationship[typeCode=COMP].source[classCode=OBS, code=""clinicalStatus"", moodCode=EVN].value', 'status']",This element is labeled as a modifier because the status contains codes that mark the condition as not currently valid or of concern.,code,"['ele-1', 'con-3', 'con-4']",true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ConditionClinicalStatus,,required,The clinical status of the condition or diagnosis.,http://hl7.org/fhir/ValueSet/condition-clinical,true,,,,,,,,,,,,,,,,
42,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.verificationStatus,Condition.verificationStatus,provisional | differential | confirmed | refuted | entered-in-error | unknown,The verification status to support the clinical status of the condition.,0,1,0..1,Condition.verificationStatus,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'sct-concept', 'v2', 'rim', 'sct-attr', 'w5']","['n/a', '< 410514004 |Finding context value|', 'PRB-13', 'Observation ACT .inboundRelationship[typeCode=COMP].source[classCode=OBS, code=""verificationStatus"", moodCode=EVN].value', '408729009', 'status']","verificationStatus is not required.  For example, when a patient has abdominal pain in the ED, there is not likely going to be a verification status.  This element is labeled as a modifier because the status contains the code refuted and entered-in-error that mark the Condition as not currently valid.",code,"['ele-1', 'con-3']",true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ConditionVerificationStatus,,required,The verification status to support or decline the clinical status of the condition or diagnosis.,http://hl7.org/fhir/ValueSet/condition-ver-status,true,,,,,,,,,,,unknown,,,,,
43,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category,Condition.category,problem-list-item | encounter-diagnosis | presenting-complaint,A category assigned to the condition.,1,1,1..1,Condition.category,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'sct-concept', 'v2', 'rim', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', '< 404684003 |Clinical finding|', ""'problem' if from PRB-3. 'diagnosis' if from DG1 segment in PV1 message"", '.code', 'class']",The categorization is often highly contextual and may appear poorly differentiated or not very useful in other contexts.,CodeableConcept,ele-1,,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ConditionCategory,,required,A category assigned to the condition.,https://fhir.hl7.org.uk/STU3/ValueSet/CareConnect-ConditionCategory-1,,,,,,,,,,,,,,,,,
44,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.id,Condition.category.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.extension,Condition.category.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
46,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding,Condition.category.coding,Code defined by a terminology system,A reference to a code defined by a terminology system.,0,*,0..*,CodeableConcept.coding,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding', 'C*E.1-8, C*E.10-22', 'union(., ./translation)', 'fhir:CodeableConcept.coding rdfs:subPropertyOf dt:CD.coding']","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.",Coding,ele-1,true,,,,,,,,,,,,,,,,,,,,Allows for translations and alternate encodings within a code system.  Also supports communication of the same instance to systems requiring different encodings.,,,,,,,,,
47,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.id,Condition.category.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.extension,Condition.category.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
49,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.system,Condition.category.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,1,1,1..1,Coding.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",uri,ele-1,true,,,,,,,,,,,,,,,,,,https://fhir.hl7.org.uk/STU3/CodeSystem/CareConnect-ConditionCategory-1,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,,
50,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.version,Condition.category.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.",0,1,0..1,Coding.version,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.code,Condition.category.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,1,1,1..1,Coding.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,,,,,,,,,,,,,,,Need to refer to a particular code in the system.,,,,,problem-list-item,,,,
52,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.display,Condition.category.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",1,1,1..1,Coding.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,Problem List Item,
53,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.coding.userSelected,Condition.category.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,0,1,0..1,Coding.userSelected,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",boolean,ele-1,true,,,,,,,,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,,
54,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.category.text,Condition.category.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,0,1,0..1,CodeableConcept.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",Very often the text is the same as a displayName of one of the codings.,string,ele-1,true,,,,,,,,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,
55,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.severity,Condition.severity,Subjective severity of condition,A subjective assessment of the severity of the condition as evaluated by the clinician.,0,1,0..1,Condition.severity,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'sct-concept', 'v2', 'rim', 'sct-attr', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', '< 272141005 |Severities|', 'PRB-26 / ABS-3', 'Can be pre/post-coordinated into value.  Or ./inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=""severity""].value', '246112005', 'grade']","Coding of the severity with a terminology is preferred, where possible.",CodeableConcept,ele-1,,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ConditionSeverity,,preferred,A subjective assessment of the severity of the condition as evaluated by the clinician.,http://hl7.org/fhir/ValueSet/condition-severity,,,,,,,,,,,,,,,,,
56,ARS|s_CareConnect-GPC-ProblemHeader-Condition-1,Condition.code,Condition.code,"Identification of the condition, problem or diagnosis","Identification of the condition, problem or diagnosis.",1,1,1..1,Condition.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'sct-concept', 'v2', 'rim', 'sct-attr', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'code 246090004 |Associated finding| (< 404684003 |Clinical finding| MINUS << 420134006 |Propensity to adverse reactions| MINUS  << 473010000 |Hypersensitivity condition| MINUS  << 79899007 |Drug interaction| MINUS << 69449002 |Drug action| MINUS  << 441742003 |Evaluation finding| MINUS  << 307824009 |Administrative status| MINUS  << 385356007 |Tumor stage finding|)  OR < 413350009 |Finding with explicit context| OR < 272379006 |Event|', 'PRB-3', '.value', '246090004', 'what']","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",CodeableConcept,ele-1,true,,,,,,type,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,ConditionKind,,example,Identification of the condition or diagnosis.,http://hl7.org/fhir/ValueSet/condition-code,,,,,,,,0..1 to account for primarily narrative only resources.,,,,,,,,,
