,element_id,element_path_value,element_short_value,element_definition_value,element_comment_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_base_cardinality,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_alias_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_requirements_value,element_extension_url,element_extension_valueBoolean_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_fixedUri_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_meaningWhenMissing_value,element_type_targetProfile_value,element_fixedCode_value,element_fixedString_value,element_extension_valueString_value,element_contentReference_value
58,Composition.identifier.assigner,Composition.identifier.assigner,Organization that issued id (may be just text),Organization that issued/manages the identifier.,The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,0,1,0..1,Identifier.assigner,0,1,0..1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'servd']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'CX.4 / (CX.4,CX.9,CX.10)', 'II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper', './IdentifierIssuingAuthority']",Reference,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Organization-1,,,,
59,Composition.identifier.assigner.id,Composition.identifier.assigner.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Composition.identifier.assigner.extension,Composition.identifier.assigner.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,0..*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
61,Composition.identifier.assigner.reference,Composition.identifier.assigner.reference,"Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.",0,1,0..1,Reference.reference,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']",string,"['ele-1', 'ref-1']",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Composition.identifier.assigner.identifier,Composition.identifier.assigner.identifier,"Logical reference, when literal reference is not known","An identifier for the other resource. This is used when there is no way to reference the other resource directly, either because the entity is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy.   When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference  Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.",0,1,0..1,Reference.identifier,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'rim']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', '.identifier']",Identifier,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Composition.identifier.assigner.display,Composition.identifier.assigner.display,Text alternative for the resource,Plain text narrative that identifies the resource in addition to the resource reference.,"This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.",0,1,0..1,Reference.display,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']",string,ele-1,true,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
64,Composition.identifier:crossCareSettingIdentifier,Composition.identifier,Logical identifier of composition (version-independent),"Logical identifier for the composition, assigned when created. This identifier stays constant as the composition is changed over time.",See discussion in resource definition for how these relate.,1,1,1..1,Composition.identifier,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'rim', 'cda', 'w5']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', 'Document.id / Document.setId', '.setId', 'id']",Identifier,ele-1,true,,,,,,,,,,,,,,,,,,crossCareSettingIdentifier,,,,,,,,,,,
65,Composition.identifier:crossCareSettingIdentifier.id,Composition.identifier.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Composition.identifier:crossCareSettingIdentifier.extension,Composition.identifier.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,0..*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
67,Composition.identifier:crossCareSettingIdentifier.use,Composition.identifier.use,usual | official | temp | secondary (If known),The purpose of this identifier.,"This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.",0,1,0..1,Identifier.use,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Role.code or implied by context']",code,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,IdentifierUse,,required,"Identifies the purpose for this identifier, if known .",http://hl7.org/fhir/ValueSet/identifier-use,Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.,,,true,,,,,,,,,,,,,
68,Composition.identifier:crossCareSettingIdentifier.type,Composition.identifier.type,Description of identifier,A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.,"This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.",0,1,0..1,Identifier.type,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'CX.5', 'Role.code or implied by context']",CodeableConcept,ele-1,true,,,,,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",IdentifierType,true,extensible,A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.,http://hl7.org/fhir/ValueSet/identifier-type,Allows users to make use of identifiers when the identifier system is not known.,,,,,,,,,,,,,,,,
69,Composition.identifier:crossCareSettingIdentifier.type.id,Composition.identifier.type.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Composition.identifier:crossCareSettingIdentifier.type.extension,Composition.identifier.type.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,0..*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
71,Composition.identifier:crossCareSettingIdentifier.type.coding,Composition.identifier.type.coding,Code defined by a terminology system,A reference to a code defined by a terminology system.,"Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.",0,*,0..*,CodeableConcept.coding,0,*,0..*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding', 'C*E.1-8, C*E.10-22', 'union(., ./translation)', 'fhir:CodeableConcept.coding rdfs:subPropertyOf dt:CD.coding']",Coding,ele-1,true,,,,,,,,,,,,,Allows for translations and alternate encodings within a code system.  Also supports communication of the same instance to systems requiring different encodings.,,,,,,,,,,,,,,,,
72,Composition.identifier:crossCareSettingIdentifier.type.coding.id,Composition.identifier.type.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Composition.identifier:crossCareSettingIdentifier.type.coding.extension,Composition.identifier.type.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,0..*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
74,Composition.identifier:crossCareSettingIdentifier.type.coding.system,Composition.identifier.type.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,"The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",0,1,0..1,Coding.system,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']",uri,ele-1,true,,,,,,,,,,,,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,,,,,,,,,
75,Composition.identifier:crossCareSettingIdentifier.type.coding.version,Composition.identifier.type.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",0,1,0..1,Coding.version,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Composition.identifier:crossCareSettingIdentifier.type.coding.code,Composition.identifier.type.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Coding.code,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",code,ele-1,true,,,,,,,,,,,,,Need to refer to a particular code in the system.,,,,,,,,,,,,,,,,
77,Composition.identifier:crossCareSettingIdentifier.type.coding.display,Composition.identifier.type.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Coding.display,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",string,ele-1,true,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
78,Composition.identifier:crossCareSettingIdentifier.type.coding.userSelected,Composition.identifier.type.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,"Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",0,1,0..1,Coding.userSelected,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']",boolean,ele-1,true,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,,,,,,,,,
79,Composition.identifier:crossCareSettingIdentifier.type.text,Composition.identifier.type.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,Very often the text is the same as a displayName of one of the codings.,0,1,0..1,CodeableConcept.text,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",string,ele-1,true,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,,,
80,Composition.identifier:crossCareSettingIdentifier.system,Composition.identifier.system,The namespace for the identifier value,"Establishes the namespace for the value - that is, a URL that describes a set values that are unique.",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,1,1,1..1,Identifier.system,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.4 / EI-2-4', 'II.root or Role.id.root', './IdentifierType']",uri,ele-1,true,,,,,,,,,,,,,"There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.",,,,,,,https://fhir.nhs.uk/Id/cross-care-setting-identifier,General,http://www.acme.com/identifiers/patient or urn:ietf:rfc:3986 if the Identifier.value itself is a full uri,,,,,,,
81,Composition.identifier:crossCareSettingIdentifier.value,Composition.identifier.value,The value that is unique,The portion of the identifier typically relevant to the user and which is unique within the context of the system.,"If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](extension-rendered-value.html).",1,1,1..1,Identifier.value,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.1 / EI.1', 'II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)', './Value']",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,General,,123456,,,,,,
82,Composition.identifier:crossCareSettingIdentifier.period,Composition.identifier.period,Time period when id is/was valid for use,Time period during which identifier is/was valid for use.,"This is not a duration - that's a measure of time (a separate type), but a duration that occurs at a fixed value of time. A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times""). If duration is required, specify the type as Interval|Duration.",0,1,0..1,Identifier.period,0,1,0..1,"['ele-1', 'per-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'If present, start SHALL have a lower value than end']","['hasValue() | (children().count() > id.count())', 'start.empty() or end.empty() or (start <= end)']","['@value|f:*|h:div', 'not(exists(f:start)) or not(exists(f:end)) or (f:start/@value <= f:end/@value)']","['rim', 'v2', 'rim', 'v2', 'rim', 'servd']","['n/a', 'DR', 'IVL<TS>[lowClosed=""true"" and highClosed=""true""] or URG<TS>[lowClosed=""true"" and highClosed=""true""]', 'CX.7 + CX.8', 'Role.effectiveTime or implied by context', './StartDate and ./EndDate']",Period,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Composition.identifier:crossCareSettingIdentifier.period.id,Composition.identifier.period.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Composition.identifier:crossCareSettingIdentifier.period.extension,Composition.identifier.period.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,0..*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,,,
85,Composition.identifier:crossCareSettingIdentifier.period.start,Composition.identifier.period.start,Starting time with inclusive boundary,The start of the period. The boundary is inclusive.,"If the low element is missing, the meaning is that the low boundary is not known.",0,1,0..1,Period.start,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'DR.1', './low']",dateTime,"['ele-1', 'per-1']",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Composition.identifier:crossCareSettingIdentifier.period.end,Composition.identifier.period.end,"End time with inclusive boundary, if not ongoing","The end of the period. If the end of the period is missing, it means that the period is ongoing. The start may be in the past, and the end date in the future, which means that period is expected/planned to end at that time.",The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has a end value of 2012-02-03.,0,1,0..1,Period.end,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'DR.2', './high']",dateTime,"['ele-1', 'per-1']",true,,,,,,,,,,,,,,,,,,,,,,,,"If the end of the period is missing, it means that the period is ongoing",,,,,
87,Composition.identifier:crossCareSettingIdentifier.assigner,Composition.identifier.assigner,Organization that issued id (may be just text),Organization that issued/manages the identifier.,The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,0,1,0..1,Identifier.assigner,0,1,0..1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'servd']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'CX.4 / (CX.4,CX.9,CX.10)', 'II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper', './IdentifierIssuingAuthority']",Reference,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1,,,,
88,Composition.identifier:crossCareSettingIdentifier.assigner.id,Composition.identifier.assigner.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,0..1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
