,source,element_id,element_path_value,element_short_value,element_definition_value,element_comment_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_alias_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_fixedUri_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_binding_valueSetUri_value,element_slicing_ordered_value,element_extension_url,element_extension_valueBoolean_value
29,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.system,MedicationStatement.identifier.system,The namespace for the identifier value,"Establishes the namespace for the value - that is, a URL that describes a set values that are unique.",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,1,1,1..1,Identifier.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.4 / EI-2-4', 'II.root or Role.id.root', './IdentifierType']",uri,ele-1,true,,,,,,,,,,,,,,,,,,,"There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.",General,http://www.acme.com/identifiers/patient or urn:ietf:rfc:3986 if the Identifier.value itself is a full uri,,,,,,
30,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.value,MedicationStatement.identifier.value,The value that is unique,The portion of the identifier typically relevant to the user and which is unique within the context of the system.,"If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](extension-rendered-value.html).",1,1,1..1,Identifier.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.1 / EI.1', 'II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)', './Value']",string,ele-1,true,,,,,,,,,,,,,,,,,,,,General,,123456,,,,,
31,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.period,MedicationStatement.identifier.period,Time period when id is/was valid for use,Time period during which identifier is/was valid for use.,"This is not a duration - that's a measure of time (a separate type), but a duration that occurs at a fixed value of time. A Period specifies a range of time; the context of use will specify whether the entire range applies (e.g. ""the patient was an inpatient of the hospital for this time range"") or one value from the range applies (e.g. ""give to the patient between these two times""). If duration is required, specify the type as Interval|Duration.",0,1,0..1,Identifier.period,0,1,"['ele-1', 'per-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'If present, start SHALL have a lower value than end']","['hasValue() | (children().count() > id.count())', 'start.empty() or end.empty() or (start <= end)']","['@value|f:*|h:div', 'not(exists(f:start)) or not(exists(f:end)) or (f:start/@value <= f:end/@value)']","['rim', 'v2', 'rim', 'v2', 'rim', 'servd']","['n/a', 'DR', 'IVL<TS>[lowClosed=""true"" and highClosed=""true""] or URG<TS>[lowClosed=""true"" and highClosed=""true""]', 'CX.7 + CX.8', 'Role.effectiveTime or implied by context', './StartDate and ./EndDate']",Period,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.assigner,MedicationStatement.identifier.assigner,Organization that issued id (may be just text),Organization that issued/manages the identifier.,The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.,0,1,0..1,Identifier.assigner,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim', 'servd']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'CX.4 / (CX.4,CX.9,CX.10)', 'II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper', './IdentifierIssuingAuthority']",Reference,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/Organization,,,,
33,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.basedOn,MedicationStatement.basedOn,"Fulfils plan, proposal or order","A plan, proposal or order that is fulfilled in whole or in part by this event.","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",1,1,1..1,MedicationStatement.basedOn,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'workflow', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '…basedOn', '.outboundRelationship[typeCode=FLFS].target[classCode=SBADM or PROC or PCPR or OBS, moodCode=RQO orPLAN or PRP]']","['Reference', 'Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,,Allows tracing of authorization for the event and tracking whether proposals/recommendations were acted upon.,,,,"['http://hl7.org/fhir/StructureDefinition/CarePlan', 'http://hl7.org/fhir/StructureDefinition/ProcedureRequest', 'http://hl7.org/fhir/StructureDefinition/ReferralRequest', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-MedicationRequest-1']",,,,
34,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.partOf,MedicationStatement.partOf,Part of referenced event,A larger event of which this particular event is a component or step.,"References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",0,*,0..*,MedicationStatement.partOf,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'workflow', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '…part of', '.outboundRelationship[typeCode=COMP]/target[classCode=SPLY or SBADM or PROC or OBS,moodCode=EVN]']","['Reference', 'Reference', 'Reference', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,,"This should not be used when indicating which resource a MedicationStatement has been derived from.  If that is the use case, then MedicationStatement.derivedFrom should be used.",,,,"['http://hl7.org/fhir/StructureDefinition/MedicationAdministration', 'http://hl7.org/fhir/StructureDefinition/MedicationDispense', 'https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Procedure-1', 'https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Observation-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-MedicationStatement-1']",,,,
35,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.context,MedicationStatement.context,Encounter / Episode associated with MedicationStatement,The encounter or episode of care that establishes the context for this MedicationStatement.,"References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",0,1,0..1,MedicationStatement.context,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'workflow', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '…context', '.inboundRelationship[typeCode=COMP].source[classCode=ENC, moodCode=EVN, code=""type of encounter or episode""]']","['Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,true,,,,,,"['http://hl7.org/fhir/StructureDefinition/EpisodeOfCare', 'https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Encounter-1']",,,,
36,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.status,MedicationStatement.status,active | completed | entered-in-error | intended | stopped | on-hold,A code representing the patient or other source's judgment about the state of the medication used that this statement is about.  Generally this will be active or completed.,"MedicationStatement is a statement at a point in time.  The status is only representative at the point when it was asserted.  The value set for MedicationStatement.status contains codes that assert the status of the use of the medication by the patient (for example, stopped or on hold) as well as codes that assert the status of the medication statement itself (for example, entered in error).  This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.",1,1,1..1,MedicationStatement.status,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'workflow', 'rim', 'w5']","['n/a', '…status', '.statusCode', 'status']",code,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,MedicationStatementStatus,,required,A coded concept indicating the current status of a MedicationStatement.,http://hl7.org/fhir/ValueSet/medication-statement-status,true,,,,,,,,,,,,,,
37,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.category,MedicationStatement.category,Type of medication usage,Indicates where type of medication statement and where the medication is expected to be consumed or administered.,"Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",0,1,0..1,MedicationStatement.category,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'rim', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', '.inboundRelationship[typeCode=COMP].source[classCode=OBS, moodCode=EVN, code=""type of medication usage""].value', 'class']",CodeableConcept,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,MedicationStatementCategory,,preferred,A coded concept identifying where the medication included in the medicationstatement is expected to be consumed or administered,http://hl7.org/fhir/ValueSet/medication-statement-category,,,,,,,,,,,,,,,
38,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.medicationReference:medicationReference,MedicationStatement.medicationReference,What medication was taken,Identifies the medication being administered. This is either a link to a resource representing the details of the medication or a simple attribute carrying a code that identifies the medication from a known list of medications.,"If only a code is specified, then it needs to be a code for a specific product. If more information is required, then the use of the medication resource is recommended.  For example if you require form or lot number, then you must reference the Medication resource. .",1,1,1..1,MedicationStatement.medication[x],1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'workflow', 'rim', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', '…code', '.participation[typeCode=CSM].role[classCode=ADMM or MANU]', 'what']",Reference,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,MedicationCode,,example,A coded concept identifying the substance or product being taken.,,,,medicationReference,,,,,,,,https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Medication-1,http://hl7.org/fhir/ValueSet/medication-codes,,,
39,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.effective[x],MedicationStatement.effective[x],The date/time or interval when the medication was taken,"The interval of time during which it is being asserted that the patient was taking the medication (or was not taking, when the wasNotGiven element is true).","This attribute reflects the period over which the patient consumed the medication and is expected to be populated on the majority of Medication Statements. If the medication is still being taken at the time the statement is recorded, the ""end"" date will be omitted.",0,1,0..1,MedicationStatement.effective[x],0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'workflow', 'rim', 'w5']","['n/a', '…occurrence[x]', '.effectiveTime', 'when.done']","['dateTime', 'Period']",ele-1,true,,,,,,,,,,,,,,,,,true,,,,,,,,,,
40,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.dateAsserted,MedicationStatement.dateAsserted,When the statement was asserted?,The date when the medication statement was asserted by the information source.,,1,1,1..1,MedicationStatement.dateAsserted,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim', 'w5']","['n/a', '.participation[typeCode=AUT].time', 'when.recorded']",dateTime,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.informationSource,MedicationStatement.informationSource,Person or organization that provided the information about the taking of this medication,"The person or organization that provided the information about the taking of this medication. Note: Use derivedFrom when a MedicationStatement is derived from other resources, e.g Claim or MedicationRequest.","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",0,1,0..1,MedicationStatement.informationSource,0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '.participation[typeCode=INF].role[classCode=PAT, or codes for Practioner or Related Person (if PAT is the informer, then syntax for self-reported =true)', 'who.source']","['Reference', 'Reference', 'Reference', 'Reference']",ele-1,,,,,,,,,,,,,,,,,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/RelatedPerson', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Organization-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1']",,,,
42,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.subject,MedicationStatement.subject,Who is/was taking  the medication,"The person, animal or group who is/was taking the medication.","References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",1,1,1..1,MedicationStatement.subject,1,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'workflow', 'v2', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '…subject', 'PID-3-Patient ID List', '.participation[typeCode=SBJ].role[classCode=PAT]', 'who']","['Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/Group', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1']",,,,
43,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.derivedFrom,MedicationStatement.derivedFrom,Additional supporting information,"Allows linking the MedicationStatement to the underlying MedicationRequest, or to other information that supports or is used to derive the MedicationStatement.","Likely references would be to MedicationRequest, MedicationDispense, Claim, Observation or QuestionnaireAnswers.  The most common use cases for deriving a MedicationStatement comes from creating a MedicationStatement from a MedicationRequest or from a lab observation or a claim.  it should be noted that the amount of information that is available varies from the type resource that you derive the MedicationStatement from.",0,*,0..*,MedicationStatement.derivedFrom,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '.outboundRelationship[typeCode=SPRT]/target[classCode=ACT,moodCode=EVN]']",Reference,ele-1,,,,,,,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/StructureDefinition/Resource,,,,
44,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.taken,MedicationStatement.taken,y | n | unk | na,Indicator of the certainty of whether the medication was taken by the patient.,This element is labeled as a modifier because it indicates that the medication was not taken.,1,1,1..1,MedicationStatement.taken,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'workflow', 'rim']","['n/a', '…notDone', '.actionNegationInd']",code,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,MedicationStatementTaken,,required,A coded concept identifying level of certainty if patient has taken or has not taken the medication,http://hl7.org/fhir/ValueSet/medication-statement-taken,true,,,,,,,,,,,,,,
45,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.reasonNotTaken,MedicationStatement.reasonNotTaken,True if asserting medication was not given,A code indicating why the medication was not taken.,"Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.",0,*,0..*,MedicationStatement.reasonNotTaken,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', '.outboundRelationship[typeCode=RSON]/target[classCode=OBS,moodCode=EVN, code=""reason not taken""].value']",CodeableConcept,"['ele-1', 'mst-1']",,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,MedicationStatementNotTakenReason,,example,A coded concept indicating the reason why the medication was not taken,http://hl7.org/fhir/ValueSet/reason-medication-not-taken-codes,,,,,,,,,,,,,,,
46,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.reasonCode,MedicationStatement.reasonCode,Reason for why the medication is being/was taken,A reason for why the medication is being/was taken.,"This could be a diagnosis code. If a full condition record exists or additional detail is needed, use reasonForUseReference.",0,*,0..*,MedicationStatement.reasonCode,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'workflow', 'rim', 'w5']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', '…reasoneCodeableConcept', '.reasonCode', 'why']",CodeableConcept,ele-1,,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,MedicationReason,,example,A coded concept identifying why the medication is being taken.,http://hl7.org/fhir/ValueSet/condition-code,,,,,,,,,,,,,,,
47,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.reasonReference,MedicationStatement.reasonReference,Condition or observation that supports why the medication is being/was taken,Condition or observation that supports why the medication is being/was taken.,"This is a reference to a condition that is the reason why the medication is being/was taken.  If only a code exists, use reasonForUseCode.",0,*,0..*,MedicationStatement.reasonReference,0,*,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'workflow', 'rim', 'w5']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', '…reasonReference', '.outboundRelationship[typeCode=RSON]/target[classCode=OBS,moodCode=EVN, code=""reason for use""].value', 'why']","['Reference', 'Reference']",ele-1,,,,,,,,,,,,,,,,,,,,,,,,"['https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Observation-1', 'https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Condition-1']",,,,
48,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.note,MedicationStatement.note,Further information about the statement,Provides extra information about the medication statement that is not conveyed by the other attributes.,"For systems that do not have structured annotations, they can simply communicate a single annotation with no author or time.  This element may need to be included in narrative because of the potential for modifying information.  *Annotations SHOULD NOT* be used to communicate ""modifying"" information that could be computable. (This is a SHOULD because enforcing user behavior is nearly impossible).",0,*,0..*,MedicationStatement.note,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'workflow', 'rim']","['n/a', 'N/A', 'Act', '…note', '.inboundRelationship[typeCode=SUBJ]/source[classCode=OBS,moodCode=EVN,code=""annotation""].value']",Annotation,ele-1,,,,,,,,,,,,,,,,,,true,,,,,,,,,,
49,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.note.id,MedicationStatement.note.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.note.extension,MedicationStatement.note.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,
51,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.note.author[x],MedicationStatement.note.author[x],Individual responsible for the annotation,The individual responsible for making the annotation.,"References SHALL be a reference to an actual FHIR resource, and SHALL be resolveable (allowing for access control, temporary unavailability, etc). Resolution can be either by retrieval from the URL, or, where applicable by resource type, by treating an absolute reference as a canonical URL and looking it up in a local registry/repository.",0,1,0..1,Annotation.author[x],0,1,"['ele-1', 'ref-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'SHALL have a contained resource if a local reference is provided']","['hasValue() | (children().count() > id.count())', ""reference.startsWith('#').not() or (reference.substring(1).trace('url') in %resource.contained.id.trace('ids'))""]","['@value|f:*|h:div', ""not(starts-with(f:reference/@value, '#')) or exists(ancestor::*[self::f:entry or self::f:parameter]/f:resource/f:*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')]|/*/f:contained/f:*[f:id/@value=substring-after(current()/f:reference/@value, '#')])""]","['rim', 'rim', 'v2', 'rim']","['n/a', 'The target of a resource reference is a RIM entry point (Act, Role, or Entity)', 'N/A', 'Act.participant[typeCode=AUT].role']","['Reference', 'string', 'Reference', 'Reference']",ele-1,true,,,,,,,,,,,,,,,,,,,,,,,"['http://hl7.org/fhir/StructureDefinition/RelatedPerson', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Patient-1', 'https://fhir.nhs.uk/STU3/StructureDefinition/CareConnect-GPC-Practitioner-1']",,,,
52,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.note.time,MedicationStatement.note.time,When the annotation was made,Indicates when this particular annotation was made.,,0,1,0..1,Annotation.time,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Act.effectiveTime']",dateTime,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.note.text,MedicationStatement.note.text,The annotation  - text content,The text of the annotation.,Note that FHIR strings may not exceed 1MB in size,1,1,1..1,Annotation.text,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Act.text']",string,ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
